cus_id,country,region,city,customer_name
cus00001,saudi arabia,eastern,khobar,Michele Luna
cus00002,saudi arabia,western,jeddah,Katie Sanchez
cus00003,saudi arabia,eastern,khobar,Timothy Kim
cus00004,saudi arabia,western,madina,Julie Peterson
cus00005,saudi arabia,eastern,al-ehsa,Juan Solis
cus00006,saudi arabia,southern,khamis,Amanda Boyd
cus00007,saudi arabia,eastern,khobar,Cindy Lam
cus00008,saudi arabia,southern,jezan,Christina Graham
cus00009,saudi arabia,central,riyadh,Erin Young
cus00010,saudi arabia,western,madina,Rodney Price
cus00011,saudi arabia,western,madina,Kayla Arroyo
cus00012,saudi arabia,southern,abha,Susan Watson
cus00013,saudi arabia,southern,jezan,Shannon Morgan
cus00014,saudi arabia,western,madina,Cheryl Anderson
cus00015,saudi arabia,eastern,khobar,Barbara Graves
cus00016,saudi arabia,central,riyadh,Amber Parrish
cus00017,saudi arabia,eastern,al-ehsa,Casey Farley
cus00018,saudi arabia,central,riyadh,Michael Potter
cus00019,saudi arabia,central,qassim,Christy Bray
cus00020,saudi arabia,southern,jezan,Jo Colon
cus00021,saudi arabia,central,qassim,Kaitlin Hicks
cus00022,saudi arabia,central,riyadh,Sonia Shelton
cus00023,saudi arabia,western,madina,Harry Burton II
cus00024,saudi arabia,southern,abha,Megan Vega
cus00025,saudi arabia,central,qassim,Jordan Knight
cus00026,saudi arabia,eastern,khobar,Sarah Grant
cus00027,saudi arabia,eastern,khobar,Rachel Avery
cus00028,saudi arabia,central,riyadh,Crystal Zuniga
cus00029,saudi arabia,western,madina,Lee Mckay
cus00030,saudi arabia,eastern,khobar,Deborah White
cus00031,saudi arabia,southern,jezan,Renee Giles
cus00032,saudi arabia,southern,khamis,Erin Marshall
cus00033,saudi arabia,southern,abha,Mary Dudley
cus00034,saudi arabia,southern,khamis,Katherine Jackson
cus00035,saudi arabia,eastern,khobar,Sarah Smith
cus00036,saudi arabia,eastern,damman,Christian Hawkins
cus00037,saudi arabia,central,qassim,Cindy Adkins
cus00038,saudi arabia,central,qassim,Linda Caldwell
cus00039,saudi arabia,southern,khamis,Tim Carter MD
cus00040,saudi arabia,central,riyadh,Joshua Sullivan
cus00041,saudi arabia,western,mecca,James Roberts
cus00042,saudi arabia,western,madina,Timothy Gutierrez
cus00043,saudi arabia,central,qassim,Lauren Martinez
cus00044,saudi arabia,eastern,al-ehsa,Kim Jones
cus00045,saudi arabia,southern,abha,Tyler Murray
cus00046,saudi arabia,southern,abha,Adam Pugh
cus00047,saudi arabia,southern,jezan,Heather Wu
